timestamp,camera_ip,status,snapshot_file
2025-07-17 20:21:27,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_202127.jpg
2025-07-17 20:20:24,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_202024.jpg
2025-07-17 20:19:21,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_201921.jpg
2025-07-17 20:18:19,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_201819.jpg
2025-07-17 20:17:15,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_201715.jpg
2025-07-17 20:16:13,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_201613.jpg
2025-07-17 20:15:10,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_201510.jpg
2025-07-17 20:14:07,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_201407.jpg
2025-07-17 20:13:04,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_201304.jpg
2025-07-17 20:12:01,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_201201.jpg
2025-07-17 20:10:59,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_201059.jpg
2025-07-17 20:09:56,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_200956.jpg
2025-07-17 20:08:53,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_200853.jpg
2025-07-17 20:07:51,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_200751.jpg
2025-07-17 20:06:48,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_200648.jpg
2025-07-17 19:44:09,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_194409.jpg
2025-07-17 19:43:06,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_194306.jpg
2025-07-17 19:42:16,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_194216.jpg
2025-07-17 19:41:13,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_194113.jpg
2025-07-17 19:36:42,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_193642.jpg
2025-07-17 19:36:19,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_193619.jpg
2025-07-17 19:35:56,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_193556.jpg
2025-07-17 19:35:33,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_193533.jpg
2025-07-17 19:35:11,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_193511.jpg
2025-07-17 19:34:48,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_193448.jpg
2025-07-17 19:34:25,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_193425.jpg
2025-07-17 19:34:02,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_193402.jpg
2025-07-17 19:33:40,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_193340.jpg
2025-07-17 19:33:17,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_193317.jpg
2025-07-17 19:32:54,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_193254.jpg
2025-07-17 19:32:32,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_193232.jpg
2025-07-17 19:32:09,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_193209.jpg
2025-07-17 19:31:46,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_193146.jpg
2025-07-17 19:31:24,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_193124.jpg
2025-07-17 19:31:00,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_193100.jpg
2025-07-17 19:30:37,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_193037.jpg
2025-07-17 19:16:00,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_191600.jpg
2025-07-17 19:15:36,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_191536.jpg
2025-07-17 19:15:13,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_191513.jpg
2025-07-17 19:14:51,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_191451.jpg
2025-07-17 19:14:25,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_191425.jpg
2025-07-17 19:05:39,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_190539.jpg
2025-07-17 19:05:16,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_190516.jpg
2025-07-17 19:04:52,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_190452.jpg
2025-07-17 18:30:30,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_183030.jpg
2025-07-17 18:25:09,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_182509.jpg
2025-07-17 18:16:56,192.168.137.50,ONLINE,log/2025/07/snapshot_20250717_181656.jpg
2025-07-17 17:00:51,192.168.137.50,ONLINE,snapshot.jpg
2025-07-17 17:01:55,192.168.137.50,ONLINE,snapshot.jpg
2025-07-17 17:39:31,192.168.137.50,ONLINE,log/07/2025/snapshot_20250717_173931.jpg
2025-07-17 17:39:44,192.168.137.50,ONLINE,log/07/2025/snapshot_20250717_173944.jpg
2025-07-17 17:39:57,192.168.137.50,ONLINE,log/07/2025/snapshot_20250717_173957.jpg
